interval_start_time,CAISO_system_load,temp_forecast_dayahead_bakersfield,temp_forecast_dayahead_los_angeles,temp_forecast_dayahead_san_francisco,dewpoint_forecast_dayahead_bakersfield,dewpoint_forecast_dayahead_los_angeles,dewpoint_forecast_dayahead_san_francisco
2020-01-04 11:00:00-08:00,19981,53.3,58,54.3,43.7,46,46.7
2020-01-04 12:00:00-08:00,19889,55.7,59,54.7,44.3,47,46.3
2020-01-04 13:00:00-08:00,20281,58,60,55,45,48,46
2020-01-04 14:00:00-08:00,20699,58,59.3,54.7,44,50.3,46.7
2020-01-04 15:00:00-08:00,21575,58,58.7,54.3,43,52.7,47.3
2020-01-04 16:00:00-08:00,23256,58,59,52,42,55,48
2020-01-04 17:00:00-08:00,25239,55.7,58,51.7,43,55.3,48
2020-01-04 18:00:00-08:00,25423,53.3,57,51.3,44,55.7,48
2020-01-04 19:00:00-08:00,24981,51,56,51,45,56,48
2020-01-04 20:00:00-08:00,24579,50.3,56,51,43,54.7,47
2020-01-04 21:00:00-08:00,23808,49.7,56,51,41,53.3,46
2020-01-04 22:00:00-08:00,22589,49,56,51,39,52,45
2020-01-04 23:00:00-08:00,21388,48.3,55.7,51,38.7,51.7,44.3
2020-01-05 00:00:00-08:00,20364,47.7,55.3,51,38.3,51.3,43.7
2020-01-05 01:00:00-08:00,19675,47,55,51,38,51,43
2020-01-05 02:00:00-08:00,19466,46.3,54.3,50.3,38.7,50,43
2020-01-05 03:00:00-08:00,19300,45.7,53.7,49.7,39.3,49,43
2020-01-05 04:00:00-08:00,19493,45,53,49,40,48,43
2020-01-05 05:00:00-08:00,19968,44.3,52.3,49,40.3,47.3,43
2020-01-05 06:00:00-08:00,20485,43.7,51.7,49,40.7,46.7,43
2020-01-05 07:00:00-08:00,20867,43,51,49,41,46,43
2020-01-05 08:00:00-08:00,20808,43.7,52.7,50,42,44.3,42.3
2020-01-05 09:00:00-08:00,20346,44.3,54.3,51,43,42.7,41.7
2020-01-05 10:00:00-08:00,19895,45,56,52,44,41,41
2020-01-05 11:00:00-08:00,19500,46,57,52.7,44.7,41.3,41.3
2020-01-05 12:00:00-08:00,19416,47,58,53.3,45.3,41.7,41.7
2020-01-05 13:00:00-08:00,19569,48,59,54,46,42,42
2020-01-05 14:00:00-08:00,20016,48.3,58.7,54,45.7,43.7,42.7
2020-01-05 15:00:00-08:00,21118,48.7,58.3,54,45.3,45.3,43.3
2020-01-05 16:00:00-08:00,23200,49,58,54,45,47,44
2020-01-05 17:00:00-08:00,25485,48,57.3,52.7,44.7,45.7,44.7
2020-01-05 18:00:00-08:00,25906,47,56.7,51.3,44.3,44.3,45.3
2020-01-05 19:00:00-08:00,25592,46,56,50,44,43,46
2020-01-05 20:00:00-08:00,24957,46,56,50,43.7,44.3,45.7
2020-01-05 21:00:00-08:00,23894,46,56,50,43.3,45.7,45.3
2020-01-05 22:00:00-08:00,22334,46,56,50,43,47,45
2020-01-05 23:00:00-08:00,20952,45,55.7,49.7,42.7,45.7,44.3
2020-01-06 00:00:00-08:00,20095,44,55.3,49.3,42.3,44.3,43.7
2020-01-06 01:00:00-08:00,19540,43,55,49,42,43,43
2020-01-06 02:00:00-08:00,19264,42.3,54.3,48.3,41,41,42.7
2020-01-06 03:00:00-08:00,19390,41.7,53.7,47.7,40,39,42.3
2020-01-06 04:00:00-08:00,20298,41,53,47,39,37,42
2020-01-06 05:00:00-08:00,22147,39.7,52.7,47,38.7,34.7,41.7
2020-01-06 06:00:00-08:00,24487,38.3,52.3,47,38.3,32.3,41.3
2020-01-06 07:00:00-08:00,25481,37,52,47,38,30,41
2020-01-06 08:00:00-08:00,24872,38.3,55.7,47.7,39,29.3,41
2020-01-06 09:00:00-08:00,23690,39.7,59.3,48.3,40,28.7,41
2020-01-06 10:00:00-08:00,22848,41,63,49,41,28,41
2020-01-06 11:00:00-08:00,22539,43.3,64.7,50,42,27.7,41
2020-01-06 12:00:00-08:00,22491,45.7,66.3,51,43,27.3,41
2020-01-06 13:00:00-08:00,22447,48,68,52,44,27,41
2020-01-06 14:00:00-08:00,22647,49,66.7,51.7,43.7,30,42
2020-01-06 15:00:00-08:00,23770,50,65.3,51.3,43.3,33,43
2020-01-06 16:00:00-08:00,25636,52,66,52,43,36,44
2020-01-06 17:00:00-08:00,27575,50.3,64,51,43,37,44
2020-01-06 18:00:00-08:00,27712,48.7,62,50,43,38,44
2020-01-06 19:00:00-08:00,27146,47,60,49,43,39,44
2020-01-06 20:00:00-08:00,26271,46.7,59.3,48.7,41.7,33.7,42.7
2020-01-06 21:00:00-08:00,24887,46.3,58.7,48.3,40.3,28.3,41.3
2020-01-06 22:00:00-08:00,23099,46,58,48,39,23,40
2020-01-06 23:00:00-08:00,21553,45,57.3,48,38.7,23,40
2020-01-07 00:00:00-08:00,20591,44,56.7,48,38.3,23,40
2020-01-07 01:00:00-08:00,19951,43,56,48,38,23,40
2020-01-07 02:00:00-08:00,19641,42.3,55,47.3,37,22.3,40
2020-01-07 03:00:00-08:00,19766,41.7,54,46.7,36,21.7,40
2020-01-07 04:00:00-08:00,20666,41,53,46,35,21,40
2020-01-07 05:00:00-08:00,22584,39.3,52.7,46.3,35.3,21.7,40.7
2020-01-07 06:00:00-08:00,24903,37.7,52.3,46.7,35.7,22.3,41.3
2020-01-07 07:00:00-08:00,25824,36,52,47,36,23,42
2020-01-07 08:00:00-08:00,25282,37.3,55,48.3,37.7,23.7,42.3
2020-01-07 09:00:00-08:00,24411,38.7,58,49.7,39.3,24.3,42.7
2020-01-07 10:00:00-08:00,23633,40,61,51,41,25,43
2020-01-07 11:00:00-08:00,23110,43.3,62.3,51.7,42.7,26.3,43
2020-01-07 12:00:00-08:00,23024,46.7,63.7,52.3,44.3,27.7,43
2020-01-07 13:00:00-08:00,23160,50,65,53,46,29,43
2020-01-07 14:00:00-08:00,23496,50.7,63.3,52.7,45.3,32.7,44.3
2020-01-07 15:00:00-08:00,24354,51.3,61.7,52.3,44.7,36.3,45.7
2020-01-07 16:00:00-08:00,25910,54,65,53,44,40,47
2020-01-07 17:00:00-08:00,27781,51.3,63.3,52.3,44.3,42.3,47.3
2020-01-07 18:00:00-08:00,27950,48.7,61.7,51.7,44.7,44.7,47.7
2020-01-07 19:00:00-08:00,27422,46,60,51,45,47,48
2020-01-07 20:00:00-08:00,26529,45.3,59.3,50.7,43.3,47,47.3
2020-01-07 21:00:00-08:00,25110,44.7,58.7,50.3,41.7,47,46.7
2020-01-07 22:00:00-08:00,23268,44,58,50,40,47,46
2020-01-07 23:00:00-08:00,21654,43.3,57.3,50,39.7,46.7,46
2020-01-08 00:00:00-08:00,20640,42.7,56.7,50,39.3,46.3,46
2020-01-08 01:00:00-08:00,19991,42,56,50,39,46,46
2020-01-08 02:00:00-08:00,19659,41.7,55.3,49.7,39.7,45.7,46.3
2020-01-08 03:00:00-08:00,19740,41.3,54.7,49.3,40.3,45.3,46.7
2020-01-08 04:00:00-08:00,20552,41,54,49,41,45,47
2020-01-08 05:00:00-08:00,22366,40.7,53.3,49.3,41.3,45,46.7
2020-01-08 06:00:00-08:00,24661,40.3,52.7,49.7,41.7,45,46.3
2020-01-08 07:00:00-08:00,25708,40,52,50,42,45,46
2020-01-08 08:00:00-08:00,25371,42,54,51.3,41.7,46.3,45.7
2020-01-08 09:00:00-08:00,24853,44,56,52.7,41.3,47.7,45.3
2020-01-08 10:00:00-08:00,24408,46,58,54,41,49,45
2020-01-08 11:00:00-08:00,23796,47.7,59.7,54.7,41,47.7,45
2020-01-08 12:00:00-08:00,23238,49.3,61.3,55.3,41,46.3,45
2020-01-08 13:00:00-08:00,23035,51,63,56,41,45,45
2020-01-08 14:00:00-08:00,23326,51.3,62,56.3,41,46,45.3
2020-01-08 15:00:00-08:00,24299,51.7,61,56.7,41,47,45.7
2020-01-08 16:00:00-08:00,25835,51,61,55,41,48,46
2020-01-08 17:00:00-08:00,27493,49.3,60.3,54.3,41.3,47.3,46.3
2020-01-08 18:00:00-08:00,27685,47.7,59.7,53.7,41.7,46.7,46.7
2020-01-08 19:00:00-08:00,27334,46,59,53,42,46,47
2020-01-08 20:00:00-08:00,26737,45.3,58.7,52.7,41.3,46,46
2020-01-08 21:00:00-08:00,25606,44.7,58.3,52.3,40.7,46,45
2020-01-08 22:00:00-08:00,23768,44,58,52,40,46,44
2020-01-08 23:00:00-08:00,21861,43.7,57.7,51.3,39.7,45.3,44.3
2020-01-09 00:00:00-08:00,20783,43.3,57.3,50.7,39.3,44.7,44.7
2020-01-09 01:00:00-08:00,20058,43,57,50,39,44,45
2020-01-09 02:00:00-08:00,19718,42.7,56,49.3,39.7,44.3,45
2020-01-09 03:00:00-08:00,19832,42.3,55,48.7,40.3,44.7,45
2020-01-09 04:00:00-08:00,20651,42,54,48,41,45,45
2020-01-09 05:00:00-08:00,22432,41.7,53.3,48.7,41,45,45.3
2020-01-09 06:00:00-08:00,24616,41.3,52.7,49.3,41,45,45.7
2020-01-09 07:00:00-08:00,25756,41,52,50,41,45,46
2020-01-09 08:00:00-08:00,25523,42.7,53.7,50.3,41,44.3,45.7
